시간,종목코드,매수/매도,가격,수량,사유,수익률
2025-09-01 11:43:18,484590,매수,18210,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:43:20,054540,매도,9510,35,RSI과매수,0.32%
2025-09-01 11:43:21,064260,매수,8840,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:43:51,064260,매도,8830,37,RSI과매수,-0.11%
2025-09-01 11:43:53,097230,매수,21550,15,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:44:27,484590,매도,18190,18,RSI과매수,-0.11%
2025-09-01 11:44:29,054540,매수,9470,35,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:45:24,097230,매도,21550,15,RSI과매수,0.00%
2025-09-01 11:45:25,064260,매수,8880,37,"RSI:100.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:45:57,064260,매도,8870,37,RSI과매수,-0.11%
2025-09-01 11:46:00,064260,매수,8870,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:46:13,064260,매도,8890,37,RSI과매수,0.23%
2025-09-01 11:46:16,097230,매수,21600,15,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:46:30,097230,매도,21600,15,RSI과매수,0.00%
2025-09-01 11:46:34,097230,매수,21550,15,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:46:37,097230,매도,21650,15,RSI과매수,0.46%
2025-09-01 11:46:39,097230,매수,21750,15,"RSI:75.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:46:39,097230,매도,21750,15,RSI과매수,0.00%
2025-09-01 11:46:41,097230,매수,21800,15,"RSI:100.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:46:41,097230,매도,21800,15,RSI과매수,0.00%
2025-09-01 11:46:43,484590,매수,18160,18,"RSI:55.6, MA돌파, 거래량급증",0.00%
2025-09-01 11:47:02,484590,매도,18140,18,RSI과매수,-0.11%
2025-09-01 11:47:02,064260,매수,8860,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:47:30,064260,매도,8880,37,RSI과매수,0.23%
2025-09-01 11:47:33,097230,매수,21650,15,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:47:51,097230,매도,21600,15,RSI과매수,-0.23%
2025-09-01 11:47:51,064260,매수,8870,37,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:48:54,064260,매도,8840,37,RSI과매수,-0.34%
2025-09-01 11:48:56,484590,매수,18100,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:49:06,484590,매도,18110,18,RSI과매수,0.06%
2025-09-01 11:49:06,064260,매수,8840,37,"RSI:66.7, MA돌파, 거래량급증",0.00%
2025-09-01 11:49:18,441270,매도,12250,27,RSI과매수,-0.57%
2025-09-01 11:49:25,097230,매수,21650,15,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:50:40,097230,매도,21550,15,RSI과매수,-0.46%
2025-09-01 11:50:40,484590,매수,18130,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:51:07,064260,매도,8810,37,RSI과매수,-0.34%
2025-09-01 11:51:10,097230,매수,21500,15,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:51:45,097230,매도,21550,15,RSI과매수,0.23%
2025-09-01 11:51:49,064260,매수,8780,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:52:09,064260,매도,8830,37,RSI과매수,0.57%
2025-09-01 11:52:12,441270,매수,12280,27,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:52:23,054540,매도,9520,35,RSI과매수,0.53%
2025-09-01 11:52:24,097230,매수,21600,15,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:53:18,441270,매도,12340,27,RSI과매수,0.49%
2025-09-01 11:53:19,201490,매수,5880,56,"RSI:66.7, MA돌파, 거래량급증",0.00%
2025-09-01 11:53:22,097230,매도,21600,15,RSI과매수,0.00%
2025-09-01 11:53:30,064260,매수,8810,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:54:12,484590,매도,18090,18,RSI과매수,-0.22%
2025-09-01 11:54:16,097230,매수,21600,15,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:54:34,097230,매도,21550,15,RSI과매수,-0.23%
2025-09-01 11:54:36,484590,매수,18100,18,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:55:07,484590,매도,18140,18,RSI과매수,0.22%
2025-09-01 11:55:10,064260,매도,8810,37,RSI과매수,0.00%
